#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481349556199763313	automotive_susan_c	1000	54	0.900000	0.645000	0.630000	500626818	650203081	7598	14927	0	1641530	39237638
1481349556709380552	automotive_susan_c	1000	54	0.900000	0.611000	0.597000	500729256	657962969	7619	14984	0	1667490	38744564
1481349557218716998	automotive_susan_c	1000	54	0.900000	0.604000	0.590000	500639097	651439784	7482	14698	0	1662968	39138616
1481349557728100153	automotive_susan_c	1000	54	0.900000	0.607000	0.593000	500647986	655811828	7722	15189	0	1661813	38787475
1481349558237746224	automotive_susan_c	1000	54	0.900000	0.611000	0.597000	500636577	653561243	7498	14736	0	1660001	39118992
1481349558746997296	automotive_susan_c	1000	54	0.900000	0.646000	0.631000	500645935	653381158	7709	15156	0	1659804	38774342
1481349559256712451	automotive_susan_c	1000	54	0.900000	0.605000	0.591000	500635685	655911933	7529	14801	0	1673286	39108568
1481349559765992355	automotive_susan_c	1000	54	0.900000	0.613000	0.599000	500626026	650701098	7676	15087	0	1660859	38765209
1481349560275666261	automotive_susan_c	1000	54	0.900000	0.646000	0.631000	500635716	657989606	7561	14870	0	1671003	38900829
1481349560785138707	automotive_susan_c	1000	54	0.900000	0.601000	0.587000	500674549	648829940	7649	15028	0	1650623	39025168
1481349561294647320	automotive_susan_c	1000	54	0.900000	0.620000	0.606000	500627876	657565723	7593	14934	0	1683581	38754088
1481349561804133059	automotive_susan_c	1000	54	0.900000	0.644000	0.629000	500614470	647991606	7649	15028	0	1641167	39256117
1481349562313743464	automotive_susan_c	1000	54	0.900000	0.624000	0.610000	500620353	658205796	7565	14878	0	1682389	38727862
1481349562823696453	automotive_susan_c	1000	54	0.900000	0.643000	0.628000	500627899	647225993	7673	15076	0	1653493	39258421
1481349563333042191	automotive_susan_c	1000	54	0.900000	0.596000	0.582000	500618166	659435334	7527	14802	0	1673760	38672849
1481349563842963430	automotive_susan_c	1000	54	0.900000	0.626000	0.612000	500631950	649484431	7542	14815	0	1646387	39146898
1481349564352447168	automotive_susan_c	1000	54	0.900000	0.643000	0.628000	500650365	657218994	7659	15065	0	1667492	38770389
1481349564861834781	automotive_susan_c	1000	54	0.900000	0.594000	0.580000	500695590	652168170	7484	14702	0	1654475	39135627
1481349565371260102	automotive_susan_c	1000	54	0.900000	0.634000	0.620000	500744439	655663063	7730	15204	0	1663384	38812165
1481349565880972966	automotive_susan_c	1000	54	0.900000	0.634000	0.620000	500621760	654034686	7505	14750	0	1646618	39114885
1481349566390447454	automotive_susan_c	1000	54	0.900000	0.594000	0.580000	500642824	653203325	7706	15150	0	1658081	38783501
1481349566899854734	automotive_susan_c	1000	54	0.900000	0.627000	0.613000	500630300	656104286	7531	14806	0	1674482	39102929
1481349567409428806	automotive_susan_c	1000	54	0.900000	0.594000	0.580000	500727913	650092596	7668	15070	0	1654375	38756263
1481349567918739168	automotive_susan_c	1000	54	0.900000	0.641000	0.626000	500709099	658578748	7569	14886	0	1674230	38866855
1481349568428232532	automotive_susan_c	1000	54	0.900000	0.625000	0.611000	500750631	648970045	7648	15026	0	1648886	39086857
1481349568937599936	automotive_susan_c	1000	54	0.900000	0.597000	0.583000	500694897	659667361	7594	14936	0	1668447	38780252
1481349569447469592	automotive_susan_c	1000	54	0.900000	0.652000	0.637000	500687282	647835900	7647	15024	0	1643065	39244409
1481349569956843996	automotive_susan_c	1000	54	0.900000	0.609000	0.595000	500684320	658561267	7589	14925	0	1681613	38749347
1481349570466338235	automotive_susan_c	1000	54	0.900000	0.647000	0.632000	500693646	647452273	7653	15037	0	1650993	39258705
1481349570976140473	automotive_susan_e	1000	54	0.900000	0.605000	0.591000	334957590	457056297	4014	7562	5	1069710	24987571
1481349571485905421	automotive_susan_e	1000	54	0.900000	0.558000	0.545000	500692311	742245103	3157	6178	0	1351596	37833286
1481349571995865201	automotive_susan_e	1000	54	0.900000	0.616000	0.602000	500766813	743374536	3159	6182	0	1399427	38898703
1481349572505436648	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500705133	745055120	3156	6176	0	1394606	38987400
1481349573014645261	automotive_susan_e	1000	54	0.900000	0.614000	0.600000	500714772	743985825	3157	6178	0	1419333	39105816
1481349573523813165	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500683842	744459544	3157	6178	0	1415983	39213247
