#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496402745390920448	parsec.facesim	1400	40	1.000000	1.335000	1.416000	1382863390	1180	128491	15182997	375773472	203819913	48883213
1496402745900303166	parsec.facesim	1400	40	1.000000	1.352000	1.434000	1374590918	1169	128010	15058583	372068675	201887065	48458953
1496402746409756551	parsec.facesim	1400	40	1.000000	1.349000	1.432000	1377370704	1184	131588	15132556	372910564	202389406	48539267
1496402746919382935	parsec.facesim	1400	40	1.000000	1.338000	1.419000	1377675714	1166	128131	15108325	373024134	202497112	48814440
1496402747428567321	parsec.facesim	1400	40	1.000000	1.371000	1.454000	1399324557	533	1461864	68137223	616464430	350869883	24005161
1496402747937760122	parsec.facesim	1400	40	1.000000	1.516000	1.609000	1401944552	452	1487105	73530854	646754299	366794030	21572836
1496402748446976341	parsec.facesim	1400	40	1.000000	1.530000	1.624000	1213927995	430	951143	67455698	518131175	293327403	15249369
1496402748956521642	parsec.facesim	1400	40	1.000000	1.232000	1.307000	777362384	2152	1130405	132454404	332256180	217058160	7755919
1496402749466130318	parsec.facesim	1400	39	1.000000	0.951000	1.008000	521429341	3160	761265	42445582	79289081	74074885	8518484
1496402749976442702	parsec.freqmine	1400	39	1.000000	0.540000	0.574000	743523853	67222	4564463	67377929	168024203	197938282	13122874
1496402750487226001	parsec.freqmine	1400	38	1.000000	0.766000	0.811000	772080713	71649	4756619	68329285	171087187	204537768	13746327
1496402750997734635	parsec.freqmine	1400	38	1.000000	0.820000	0.867000	771550123	70656	4723600	71418210	175158860	206485939	13579530
1496402751507852977	parsec.freqmine	1400	38	1.000000	0.815000	0.862000	776479483	47725	3274357	60386411	142283239	152869838	9622585
1496402752017280403	parsec.freqmine	1400	37	1.000000	0.810000	0.856000	702669850	1751	514354	35068666	68355594	42464275	888440
1496402752526518288	parsec.freqmine	1400	37	1.000000	0.658000	0.696000	703019762	1855	517818	35076606	68543759	42663325	931227
