#Timestamp	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495865423700006715	500628287	226	5856694	83450034	301021204	214828247	1489525
1495865424200644445	500639037	228	5909427	83414993	302519085	217386768	1436616
1495865424701279675	500637088	224	5548925	84112956	312038368	217399030	1216383
1495865425201917822	500640090	224	5918899	83149491	308022427	219805350	1136889
1495865425702554719	500636532	226	5681507	83636174	306890699	216016105	1215400
1495865426203192449	500638595	224	5989138	82772839	303965525	218252358	1314830
1495865426703937387	500744851	226	5987385	82972987	303581726	218308286	1214542
1495865427204574076	500636756	232	5575766	83797372	295690070	206887319	1801842
1495865427705210764	500638677	232	4755990	85013803	275083726	181125595	3183433
1495865428205843953	500633367	283	2692346	84154882	181089085	103369190	7823989
1495865428706482641	500638296	302	4059705	82127286	203856549	139838208	5858465
1495865429207123038	500641479	280	5484903	81871132	279205777	199923809	2449629
1495865429707757602	500634636	1680	5881709	73182321	186638304	165390588	6418963
1495865430208399332	500643033	1097	6988934	70969503	166028959	181090364	6641488
1495865430709034562	500637351	936	6775671	72955666	172812907	184082553	7436356
1495865431209667167	500633040	1024	6696645	75253510	177047829	186852616	7584168
1495865431710375397	500707908	1004	7165783	73545403	173649532	193370112	7527383
1495865432210990294	500615460	1059	7685699	72724146	173909116	201251902	7536786
1495865432711619358	341015313	29933	2106503	35547156	87780615	98063671	5892836
1495865433212268213	500640209	51490	3302244	47195597	120119113	143009260	9454167
1495865433712905235	500643676	50865	3283147	48650277	122162833	144059971	9403250
1495865434213647006	500751993	50225	3255988	50293356	124320188	145054054	9303003
1495865434714265195	500617406	49828	3238547	51863448	126389976	145883737	9214059
1495865435214892092	500626205	27766	1802783	48943844	184651468	141152928	11732257
1495865435715518322	500624034	292	797741	21171564	192633272	127325613	22425641
1495865436216137385	500620413	224	845102	22339148	195340021	130068248	22672183
1495865436716766241	500629439	226	833662	22237849	195150320	129674860	22664829
1495865437217387637	500623050	224	833982	22248669	195294378	129764130	22677040
1495865437718060617	500675263	226	855040	22308920	195536414	130405275	22689103
1495865438218876306	500818515	226	831608	22241729	195204565	129664049	22667936
1495865438719492994	500614406	226	846590	22348698	195427465	130144923	22675175
1495865439220116224	500623140	226	833708	22238356	195203963	129706009	22668575
1495865439720739621	500624046	226	842504	22269268	195368172	130007728	22678210
1495865440221370685	500629810	224	848791	22280212	195367799	130156380	22672400
1495865440722083998	500714204	226	828370	22229113	195224852	129579084	22675982
1495865441222815020	500733710	224	844013	22275943	195365483	130053925	22676268
1495865441723573708	500759936	228	835964	22331900	195392477	129874446	22688477
1495865442224215105	500639787	220	838486	22257422	195293112	129871355	22665702
1495865442724852419	500639797	228	780724	22110023	194669675	128078796	22683777
1495865443225491815	500641994	226	787818	22056384	194792027	128266612	22688570
1495865443726131212	500638360	226	763288	22065232	194416470	127513721	22668642
1495865444226771609	500639943	224	745493	21997738	194487576	127157777	22674756
1495865444727410131	500640151	226	743544	21989331	194451789	127063667	22677867
1495865445228048403	500640984	224	745937	22019160	194410513	127105252	22680876
1495865445728808258	500758293	228	719251	21930431	194314308	126418180	22707050
1495865446229445655	500637533	224	715926	21886523	193972849	126151494	22656953
1495865446730084426	500640412	226	720860	21993636	194237876	126421743	22688874
1495865447230730698	500645064	230	709566	21867368	193620024	125767070	22657214
1495865447731374137	500646124	226	706862	21860380	193861615	125851631	22711059
1495865448232012409	500639025	224	689445	21816348	193578742	125266286	22686884
1495865448732652555	500642451	226	704092	21907317	193868891	125810866	22702338
1495865449233372119	500647532	225	697012	21894634	193840433	125623906	22719790
1495865449734011182	500709561	227	690644	21804701	193295626	125119027	22729063
1495865450234656329	500644811	224	685501	21795294	193096328	124906786	22721765
1495865450735377851	500724323	226	680409	21740663	193122989	124800017	22731299
1495865451236023456	500645034	226	679978	21716789	192807637	124616553	22696187
1495865451736666561	500644608	226	679753	21727135	193046145	124730332	22717190
1495865452237311000	500643595	224	680229	21736680	193185652	124820856	22736900
1495865452737956646	500646020	226	680345	21727755	193065995	124744818	22721416
1495865453238743501	500787777	226	679069	21733265	193112062	124757147	22726506
1495865453739398107	500658834	226	679827	21714134	192939398	124659735	22705593
1495865454240037337	500637360	224	684406	21942167	192970414	124778432	22762179
1495865454740674234	500639748	220	673382	21734144	192741976	124373518	22776885
1495865455241315339	500641054	226	673030	21679500	192704595	124362498	22777877
1495865455741950652	500635353	226	672011	21681471	192713543	124346239	22775257
1495865456242582007	500633122	224	672506	21671958	192617983	124303872	22765567
1495865456743215988	500634153	226	673107	21684318	192677084	124354058	22773735
1495865457243954968	500740230	226	672643	21671022	192607191	124306882	22764292
1495865457744595739	500638497	226	672017	21669074	192613080	124284652	22764365
1495865458245226553	500633737	224	672496	21676707	192681209	124341227	22779205
1495865458745882283	341564355	19196	1506028	29539320	107767353	95178515	9183902
1495865459246583305	500708508	51934	3299861	46758500	119594894	142572025	9385111
1495865459747278785	500694565	51156	3274637	48449398	121926368	143889960	9263411
1495865460248101098	500814031	50763	3252919	49921518	123898258	144732233	9180884
1495865460748940245	500846488	50237	3242278	51506121	125919734	145758588	9098996
1495865461249610850	500676266	37905	2586374	48240402	126005724	140505728	8207687
1495865461750236997	500625411	14253	1958406	42638791	112778427	112597603	10846892
1495865462250861893	500626926	3224	2150254	33465413	102348023	95391051	10983072
1495865462751482790	500620752	226	1156221	29776186	173134709	122434862	7439412
1495865463252098979	500618857	226	1081014	29733844	173058265	121241417	8523576
1495865463752709251	500610716	226	1093229	29735550	173152883	121699350	8659959
1495865464253420689	500609046	224	1054011	29743232	173313209	121098884	8842627
1495865464754026086	500709027	226	1060172	29785432	173385580	121315253	8672029
1495865465254643816	500618398	224	1071688	29746319	173328813	121518114	8544715
1495865465755248338	500607350	226	1051988	29748429	173354765	121239872	8896404
1495865466255869277	500620848	224	1057099	29796922	173491920	121352180	8637081
1495865466756485673	500615467	226	1041056	29745704	173325248	120882408	8768218
1495865467257123029	500642972	226	1053241	29746862	173205407	121008254	8637841
1495865467757731717	500606040	226	1128558	29768254	172966751	121798664	8076110
1495865468258481489	500751376	228	1145173	29799589	173171179	122128107	7776472
1495865468759100511	500618603	226	1179477	29801889	173279578	122558607	7216839
1495865469259718699	500618202	220	1171835	29853124	173277924	122474567	7041074
1495865469760414888	500695977	226	1086277	29833848	173709617	121840649	8046637
1495865470261032243	500619088	224	1104611	29893312	173952811	122376298	8114996
1495865470761654640	500621973	226	1060505	29863069	174044621	121717672	8245891
1495865471262273412	500619423	226	1107692	29936664	174210997	122710832	7904564
1495865471762891767	500619269	226	1065507	29882533	173930500	122069226	8322903
1495865472263579913	500690384	226	1059960	29849669	173847427	121701416	8329183
1495865472764204727	500622683	226	1061321	29873185	173987282	121976944	8205557
1495865473264823707	500622562	224	1064253	29872075	173895386	121798465	8263648
1495865473765442396	500619181	226	1056976	29849132	173721809	121445568	8190703
1495865474266054834	500612254	224	1107270	29888431	173626515	121994217	7761178
1495865474766668439	500612594	226	1168067	29795075	173354918	122534222	6993076
1495865475267295711	500629213	226	1154869	29770664	173140165	122187983	7490795
1495865475768001191	500705640	226	1162421	29762336	173182178	122288086	7297488
1495865476268782838	500781344	1964	1071719	35972217	139602322	102953911	7154270
1495865476769477318	500696538	3094	1295336	40310860	126871022	98709728	8095884
1495865477270160215	500684514	224	1157273	29891718	174009704	123098091	6919213
1495865477770854028	500692825	226	1078063	29788571	173647441	121816406	8114375
1495865478271543800	500690282	224	1096763	29853119	173950023	122365059	8068752
1495865478772229488	500688357	226	1056996	29763041	173561122	121501865	8693963
1495865479272959219	500728798	226	1072892	29851776	173897945	121836463	8173834
1495865479773726115	500766121	228	1062517	29818901	173923382	122239772	8251766
1495865480274350179	500628400	224	1050738	29798134	173731761	121804445	8372311
1495865480774966492	500615458	226	1059748	29812577	173712045	121587556	8145104
1495865481275581972	500616644	224	1032899	29742746	173586713	120972618	8395468
1495865481776200703	500620924	226	1056677	29802505	173683094	121383119	8133265
1495865482276819766	500619462	224	1157837	29940364	174075788	122786915	7057827
1495865482777435996	500615314	226	1151746	29917421	174099861	122713103	7019671
1495865483278072185	500636195	226	1206917	29897113	174088974	123646396	6672905
1495865483778763415	500692367	228	1146510	29908993	173858160	122574433	7131647
1495865484279376437	500615682	220	1076447	29849014	174013530	122163504	8218066
1495865484779989334	500612370	226	1082934	29870359	174091522	122452810	8177294
1495865485280605106	500616537	224	1059175	29842930	174138761	122343314	8504841
1495865485781213711	500609041	226	1099581	29926358	174396154	123164728	7992403
1495865486281831149	500616764	224	1066303	29897683	174193133	122509599	8454940
1495865486782449963	500620265	226	1068942	29805171	173764723	121918264	8586613
1495865487283063610	500615656	226	1062861	29859477	174073003	122290972	8622709
1495865487783816631	500751472	228	1052171	29823563	173823033	121684730	8574537
1495865488284432070	500617152	224	1051801	29822529	173731967	121695022	8549667
1495865488785135508	500703886	226	1161098	29938315	173963416	122940226	7214916
1495865489285773072	500637223	224	1147309	29882703	174047436	122962343	7100894
1495865489786420344	500649333	226	1129213	29865229	174076174	122600148	7276196
