#Timestamp	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211550048270748	698449881	0	4864162	1720383	1939653	300325628	1426017
1481211550548964378	704872219	0	4904540	1732915	1959292	302648223	1440503
1481211551049723886	696998163	0	4850696	1713978	1936390	299785916	1421010
1481211551550400531	700121543	0	4880287	1722782	1944583	300807993	1428619
1481211552051087303	706271023	0	4918046	1736587	1961287	303433394	1440569
1481211552551834462	702802038	0	4888082	1729559	1955902	302140624	1433614
1481211553052477873	707547694	0	4923813	1737679	1967719	303950008	1441798
1481211553553137796	698313710	0	4843770	1714639	1943602	300140976	1425604
1481211554053753596	703928545	0	4894699	1730357	1957605	302425805	1433429
1481211554554379742	709057047	0	4929369	1740683	1973843	305001595	1444027
1481211555055119681	700815962	0	4872048	1716937	1949050	301029421	1426576
1481211555555738548	692758615	0	4819611	1710290	1926945	297939484	1410667
1481211556056389667	703221036	0	4893317	1727291	1957122	302039216	1431719
1481211556557045381	699039965	0	4859758	1721270	1945588	300284760	1424815
1481211557057664222	701806131	0	4883802	1725293	1950138	301615340	1427231
1481211557558289282	702000846	0	4893285	1730055	1952066	301487388	1432408
1481211558058918511	714084085	0	4963567	1752494	1987894	306999957	1452723
1481211558559568126	714181484	0	4966623	1754962	1989544	306845956	1453747
1481211559060272743	702135540	0	4884371	1723744	1952900	301673095	1432029
1481211559560903829	709579333	0	4925948	1738708	1974462	305237706	1443414
1481211560061539542	702559644	0	4884831	1723162	1956092	301880204	1432609
1481211560562187099	696330793	0	4844729	1709894	1941560	299194978	1420703
1481211561062823408	697477269	0	4853535	1712564	1944081	299952957	1424998
1481211561563459977	700656051	0	4875844	1722098	1955335	301013130	1428551
1481211562064095423	699024479	0	4857259	1723572	1927426	300785193	1425606
1481211562564769921	698530337	0	4855280	1731411	1897663	300973554	1426757
1481211563065383963	697104089	0	4838966	1732754	1894213	300478023	1424027
1481211563565989806	687763363	0	4779927	1704589	1870197	296224752	1409101
1481211564066613901	701714413	0	4878587	1741899	1907232	302350901	1439854
1481211564567221256	694666127	0	4819792	1725488	1889833	299312014	1423352
1481211565067828946	500454036	0	3225013	1189213	1468809	200810668	1479783
1481211565568434480	849690200	0	4412788	1812085	3217110	332195037	3739046
1481211566069043973	850152336	0	4439644	1822505	2975036	333059941	3746499
1481211566569689685	847728204	0	4417403	1820017	2899462	332429846	3739718
1481211567070288648	847029470	0	4422783	1825331	2906135	331850483	3735486
1481211567570883704	844966531	0	4413903	1820995	2932167	331203589	3730586
1481211568071482803	849220431	0	4397212	1811419	3322573	331992705	3725839
1481211568572119745	846211612	0	4402230	1816297	3193882	330731324	3717221
1481211569072741022	842116943	0	4395275	1810285	2926898	330096399	3709525
1481211569573375642	836989508	0	4376903	1805984	2798168	328270042	3689267
1481211570073974513	841174264	0	4377426	1806396	3114866	328879312	3691759
1481211570574562893	839114531	0	4369908	1810725	2996172	328513638	3691568
1481211571075228901	846805917	0	4418735	1826188	2955140	332048271	3729530
1481211571575830958	840839045	0	4391070	1819322	2755307	330256427	3716337
1481211572076488101	843073482	0	4385900	1815456	3105559	329852950	3712549
1481211572577116877	847148407	0	4412499	1826944	3088100	331721510	3732518
1481211573077729571	844857771	0	4402913	1824015	2995491	330867853	3725537
1481211573578328108	845754520	0	4408130	1827435	2845983	331704744	3736022
1481211574078919354	848479273	0	4414453	1826831	3057468	332404094	3744534
1481211574579510942	842843918	0	4390140	1814677	3081770	329794116	3715961
1481211575080200074	844727153	0	4392754	1820615	2776171	331792289	3733192
1481211575580862088	840344716	0	4372225	1808420	2931744	329367377	3706478
1481211576081475605	846473992	0	4399272	1821767	2970350	331812297	3731845
1481211576582106462	844432645	0	4395746	1816826	3064856	330364423	3714501
1481211577082718322	839542048	0	4378501	1807419	2976727	328573917	3698828
1481211577583325773	846238027	0	4404534	1826071	3047683	331309285	3721595
1481211578083937600	847257418	0	4426657	1833068	2819756	332531301	3742247
1481211578584539143	838829047	0	4374079	1813982	2783194	329161271	3700950
1481211579085208230	843547391	0	4392962	1819732	3015420	330290494	3709542
