#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495799570958248876	parsec.dedup	1	1800	38	1.200000	1.285000	1.542000	901078505	4182418	2094590	285635330	2585424	664400914	24292
1495799571467728457	parsec.dedup	1	1800	38	1.200000	1.286000	1.543000	901068870	4049994	2023699	289870815	2500880	679870936	23847
1495799571977127998	parsec.dedup	1	1800	38	1.200000	1.282000	1.538000	901100150	3929211	1967092	290844734	2436224	683106031	23364
1495799572486535559	parsec.dedup	1	1800	38	1.100000	1.288000	1.543000	901136628	4235210	2136611	285857213	2635479	659335650	24487
1495799572996429871	parsec.dedup	1	1800	38	1.200000	1.283000	1.539000	901144881	3958509	1998100	291664445	2495987	674250356	23465
1495799573506098702	parsec.dedup	1	1800	38	1.200000	1.286000	1.543000	901241180	4200822	2120900	289128796	2621786	662280307	24628
1495799574015429742	parsec.dedup	1	1800	38	1.200000	1.282000	1.538000	901113605	4207030	2101399	288493147	2599053	665911053	24221
1495799574524864800	parsec.dedup	1	1800	38	1.200000	1.278000	1.533000	901087975	3871653	1944236	290291741	2424766	689842637	23206
1495799575034272068	parsec.dedup	1	1800	38	1.200000	1.285000	1.542000	901067439	3931644	1958119	291556416	2423579	686932125	23236
1495799575543513769	parsec.dedup	1	1800	38	1.200000	1.285000	1.542000	901099866	4099821	2057918	289322366	2554243	669640845	23557
1495799576052806221	parsec.dedup	1	1800	38	1.200000	1.278000	1.533000	901104385	4179589	2106127	286378151	2562323	664376103	24264
1495799576562288812	parsec.dedup	1	1800	38	1.200000	1.285000	1.542000	901081370	4117598	2052562	290546739	2551942	666606856	24370
1495799577071762823	parsec.dedup	1	1800	38	1.100000	1.277000	1.529000	901066835	4396671	2219544	280082701	2687025	651414410	24905
1495799577581200054	parsec.dedup	1	1800	38	1.200000	1.277000	1.532000	901098800	3996748	2010044	288633130	2467249	677708684	23871
1495799578090513080	parsec.dedup	1	1800	38	1.200000	1.286000	1.543000	901074980	4059225	2007043	283604062	2505520	659904496	23542
1495799578599946118	parsec.dedup	1	1800	38	1.200000	1.282000	1.538000	507795481	1446552	662091	117319598	1133784	260619325	7181
1495799579109860450	parsec.facesim	1	1800	38	1.100000	1.195000	1.431000	901430316	9265470	2698059	201768589	3177354	394932332	46946
1495799579619722000	parsec.facesim	1	1800	38	1.100000	1.174000	1.406000	901247231	9288069	2698596	200002699	3164950	391687604	47078
1495799580129543304	parsec.facesim	1	1800	38	1.100000	1.184000	1.418000	899232322	8947703	2625657	203637278	3105000	407040468	45663
1495799580639499575	parsec.facesim	1	1800	38	1.100000	1.191000	1.426000	801793491	2319395	1015064	292227965	1279563	670137971	11140
1495799581149718350	parsec.facesim	1	1800	38	1.100000	1.176000	1.408000	888788196	1902661	1181442	274464527	1647071	712397580	17575
1495799581659382258	parsec.facesim	1	1800	38	1.100000	1.229000	1.472000	901202880	991008	455212	159661095	1268325	472050657	5867
1495799582168501504	parsec.facesim	1	1800	38	1.100000	1.166000	1.396000	901302504	322923	200827	179355994	1337099	478902073	2662
1495799582677832423	parsec.facesim	1	1800	38	1.100000	1.097000	1.314000	897836818	452733	163260	140205867	1139367	437330378	1543
1495799583187122721	parsec.facesim	1	1800	38	1.100000	1.142000	1.368000	898791587	491192	250579	143438024	1523830	369757748	2885
1495799583696636234	parsec.facesim	1	1800	38	1.100000	1.126000	1.348000	901090775	913966	542597	179576751	1722812	422987346	7807
1495799584205745667	parsec.facesim	1	1800	38	1.100000	1.119000	1.340000	901088990	681120	418593	158911409	1460935	384416300	5998
1495799584714983689	parsec.facesim	1	1800	38	1.100000	1.108000	1.327000	901085850	725540	460821	160350988	1481913	388359561	6636
1495799585224255758	parsec.facesim	1	1800	38	1.100000	1.109000	1.328000	901075732	545935	323294	160684680	1170147	457948724	4798
1495799585733783539	parsec.facesim	1	1800	38	1.100000	1.106000	1.324000	901078228	69191	27173	518532687	702989	1010458512	116
1495799586243041699	parsec.facesim	1	1800	39	1.200000	1.235000	1.482000	901141122	80154	28605	905412246	1208086	1318224225	125
1495799586752192739	parsec.facesim	1	1800	39	1.200000	1.800000	2.163000	895620412	1869819	1209336	226890774	1863028	592409490	20839
1495799587261661575	parsec.facesim	1	1800	38	1.200000	1.209000	1.450000	897131829	4696576	297317	436436632	6607219	800398312	4738
1495799587770949831	parsec.facesim	1	1800	39	1.200000	1.397000	1.676000	901087340	4729762	28857	448012865	6974508	841131892	116
1495799588280122216	parsec.facesim	1	1800	39	1.200000	1.382000	1.658000	901076944	4567195	28644	434844115	6879275	824430634	117
1495799588789341480	parsec.facesim	1	1800	39	1.200000	1.375000	1.650000	898904050	4921902	36571	431122705	5766052	845884739	196
1495799589298536706	parsec.facesim	1	1800	39	1.200000	1.374000	1.648000	901084575	7614849	28533	413767420	6561497	815409518	128
1495799589807732643	parsec.facesim	1	1800	39	1.200000	1.365000	1.638000	901084860	7524897	27765	407333003	6509161	806470059	116
1495799590316944585	parsec.facesim	1	1800	39	1.200000	1.355000	1.626000	901176840	7350908	30184	396738930	6443409	791374217	114
1495799590826220487	parsec.facesim	1	1800	39	1.200000	1.357000	1.628000	901071915	4317423	29004	342465963	5376840	722686912	137
1495799591335476060	parsec.facesim	1	1800	39	1.100000	1.184000	1.418000	901071830	107209	50488	182434432	1191401	385234451	619
1495799591844695801	parsec.facesim	1	1800	38	1.100000	1.103000	1.321000	901071540	51483	21715	171581781	239791	351204673	116
1495799592353901922	parsec.facesim	1	1800	38	1.100000	1.089000	1.304000	901075430	54748	23156	170758136	237453	348468009	117
1495799592863178377	parsec.facesim	1	1800	38	1.100000	1.116000	1.336000	901069425	51536	22079	166579327	230950	339416055	116
1495799593372480754	parsec.facesim	1	1800	38	1.100000	1.091000	1.307000	901067840	53360	23140	166125307	232858	338891349	117
1495799593881706381	parsec.facesim	1	1800	38	1.100000	1.094000	1.310000	901072375	51269	22044	166405476	230977	339036284	116
1495799594391031930	parsec.facesim	1	1800	38	1.100000	1.088000	1.303000	901072050	52960	22916	167070841	233462	340856784	117
1495799594900343812	parsec.facesim	1	1800	38	1.100000	1.099000	1.316000	901140515	52585	22694	167263302	232532	340811903	117
1495799595409704115	parsec.facesim	1	1800	38	1.100000	1.095000	1.311000	901067315	53719	22933	165815223	230580	338151010	117
1495799595918946961	parsec.facesim	1	1800	38	1.100000	1.094000	1.310000	901075620	51057	22272	169851280	237463	346681415	116
1495799596428391227	parsec.facesim	1	1800	38	1.100000	1.098000	1.315000	901074465	53374	22828	165406435	230661	337547752	117
1495799596937682411	parsec.facesim	1	1800	38	1.100000	1.092000	1.308000	901076470	52992	22299	168484387	235182	343398023	116
1495799597446931223	parsec.facesim	1	1800	38	1.100000	1.107000	1.326000	901059255	53606	23032	169418357	235203	345626990	117
1495799597956244911	parsec.facesim	1	1800	38	1.100000	1.090000	1.305000	901047185	51291	22194	165629194	231259	337810234	116
1495799598465545894	parsec.facesim	1	1800	38	1.100000	1.088000	1.303000	901198650	52775	23195	167882058	233299	342201053	117
1495799598974805669	parsec.facesim	1	1800	38	1.100000	1.096000	1.313000	901138515	53238	22584	165850574	231407	338221316	118
1495799599484022864	parsec.facesim	1	1800	38	1.100000	1.091000	1.307000	901055090	54614	22149	168351293	235407	343177212	115
1495799599993210059	parsec.facesim	1	1800	38	1.100000	1.097000	1.314000	901054955	53711	22777	167431506	233297	341925333	116
1495799600502622799	parsec.facesim	1	1800	38	1.100000	1.091000	1.307000	901061645	52827	22264	168120885	234865	342564810	117
1495799601012051665	parsec.facesim	1	1800	38	1.100000	1.088000	1.303000	901057320	52283	22847	166708438	233334	340104964	116
1495799601521376575	parsec.facesim	1	1800	38	1.100000	1.088000	1.303000	901039065	50963	21256	168021424	233191	342476941	116
1495799602030615861	parsec.facesim	1	1800	38	1.100000	1.096000	1.313000	901161720	51625	21841	168480750	235054	344216516	117
1495799602540029857	parsec.facesim	1	1800	38	1.100000	1.096000	1.313000	901262215	4208374	26749	307412138	3708129	615816714	131
1495799603049476979	parsec.facesim	1	1800	39	1.100000	1.101000	1.318000	901249125	7622831	27598	411380834	6720635	830456730	117
1495799603558686353	parsec.facesim	1	1800	39	1.200000	1.376000	1.651000	901224965	7511389	28062	402078595	6670656	816220349	116
1495799604067872853	parsec.facesim	1	1800	39	1.200000	1.370000	1.644000	901215750	7329904	28787	396530320	6668567	809019982	117
1495799604577031938	parsec.facesim	1	1800	39	1.200000	1.356000	1.627000	901215175	2707765	27730	340887589	5537345	755862600	138
1495799605086343108	parsec.facesim	1	1800	39	1.200000	1.377000	1.652000	901261730	2566236	1001184	321873950	1849217	703970170	2149
1495799605596011362	parsec.facesim	1	1800	39	1.200000	1.463000	1.755000	605407586	3034047	899404	117529432	1212922	274434077	15165
1495799606105989617	parsec.freqmine	1	1800	39	1.100000	0.790000	0.944000	901556896	9354966	2729666	194893447	3222264	376436541	47503
1495799606615810666	parsec.freqmine	1	1800	38	1.100000	1.181000	1.414000	901387058	9212376	2692009	200343080	3178757	395295156	46806
1495799607125752739	parsec.freqmine	1	1800	39	1.100000	1.187000	1.422000	882259646	7198140	2137806	174880810	2548126	353569886	36857
1495799607635472973	parsec.freqmine	1	1800	38	1.100000	1.192000	1.428000	901281294	254944	119337	78311054	214201	187714204	1244
1495799608144746687	parsec.freqmine	1	1800	38	1.100000	0.994000	1.189000	901261752	263225	120731	78707260	223421	188476946	1272
1495799608654214958	parsec.freqmine	1	1800	38	1.100000	0.993000	1.188000	901273820	251802	116152	78013493	211615	187100277	1214
1495799609163548083	parsec.freqmine	1	1800	38	1.100000	0.995000	1.192000	901186864	255036	118937	78492893	208548	188316515	1216
1495799609673356210	parsec.freqmine	1	1800	38	1.100000	0.994000	1.189000	901454267	255737	119654	78623747	208497	188497277	1221
1495799610182842365	parsec.freqmine	1	1800	37	1.100000	0.995000	1.191000	901162555	256764	120126	78579714	209648	188492158	1222
1495799610692276558	parsec.freqmine	1	1800	37	1.100000	0.994000	1.189000	901140527	255403	119546	78510113	210962	188312741	1219
1495799611201990736	parsec.freqmine	1	1800	37	1.100000	0.994000	1.189000	901168346	257878	121123	78504676	204710	188129096	1222
1495799611711357362	parsec.freqmine	1	1800	37	1.100000	0.994000	1.189000	901171481	251001	117528	78564097	208322	188417354	1221
1495799612221101724	parsec.freqmine	1	1800	37	1.100000	0.994000	1.189000	901152885	254196	117231	78529912	209926	188348084	1216
1495799612730556191	parsec.freqmine	1	1800	37	1.100000	0.994000	1.189000	901174035	253895	118714	78616972	211551	188500056	1217
1495799613240032154	parsec.freqmine	1	1800	37	1.100000	0.995000	1.191000	901156495	253683	119366	78515894	209997	188376355	1215
1495799613749609581	parsec.freqmine	1	1800	37	1.100000	0.994000	1.189000	901257372	253088	118521	78630425	209820	188491458	1218
1495799614258970843	parsec.freqmine	1	1800	37	1.100000	0.995000	1.191000	901180833	254763	118843	78602741	209202	188533254	1221
1495799614768412520	parsec.freqmine	1	1800	37	1.100000	0.993000	1.188000	901155640	260475	123449	80348138	215984	193048802	1342
1495799615277724493	parsec.freqmine	1	1800	38	1.100000	0.994000	1.189000	901118933	323255	183629	212341199	645366	1249317078	1994
1495799615786995332	parsec.freqmine	1	1800	38	1.200000	1.377000	1.652000	901125576	543056	306950	202058791	2792270	1076740315	4104
1495799616296423841	parsec.freqmine	1	1800	38	1.200000	1.393000	1.671000	901121795	1585130	886274	199869383	8010933	469609331	14003
1495799616805534461	parsec.freqmine	1	1800	38	1.100000	1.107000	1.326000	901104400	734003	429923	272922248	4378178	586898765	6436
1495799617314658964	parsec.freqmine	1	1800	38	1.100000	1.198000	1.435000	901068585	116291	27661	506240695	804194	985476933	127
1495799617823704192	parsec.freqmine	1	1800	39	1.200000	1.450000	1.740000	901305630	111397	27381	545452754	690764	1025396255	120
1495799618332781932	parsec.freqmine	1	1800	39	1.200000	1.471000	1.765000	901083940	109996	26136	553122887	713833	1029198287	114
1495799618841844888	parsec.freqmine	1	1800	39	1.200000	1.468000	1.761000	901089539	116170	28392	515606425	908291	981298674	122
1495799619350990690	parsec.freqmine	1	1800	39	1.200000	1.452000	1.742000	901086594	112925	27419	551584900	691109	1031662228	121
1495799619860042246	parsec.freqmine	1	1800	39	1.200000	1.475000	1.770000	901087346	107164	25679	557374526	656284	1037969622	116
1495799620369096650	parsec.freqmine	1	1800	40	1.200000	1.474000	1.768000	901083416	112851	27064	543042987	759712	1017908075	118
1495799620878120759	parsec.freqmine	1	1800	39	1.200000	1.468000	1.761000	901083231	108196	26058	557197010	651574	1036485747	116
1495799621387236591	parsec.freqmine	1	1800	39	1.200000	1.476000	1.771000	901079520	111076	26241	559448378	631563	1039685753	116
1495799621896586620	parsec.freqmine	1	1800	40	1.200000	1.473000	1.767000	901216485	111353	26494	550217653	733749	1022295060	117
1495799622406052792	parsec.freqmine	1	1800	40	1.200000	1.473000	1.767000	901081123	114559	27423	541569908	776133	1014872863	119
1495799622915082368	parsec.freqmine	1	1800	40	1.200000	1.469000	1.762000	901085099	110973	26317	556492926	655517	1038681042	116
1495799623424186713	parsec.freqmine	1	1800	40	1.200000	1.476000	1.771000	901076875	111980	26642	552690848	718310	1028692756	116
1495799623933399745	parsec.freqmine	1	1800	40	1.200000	1.471000	1.765000	901088440	111593	26793	551632578	738494	1026583973	116
1495799624442480257	parsec.freqmine	1	1800	40	1.200000	1.474000	1.768000	901085688	113250	26846	537328129	848627	1004694860	117
1495799624951609493	parsec.freqmine	1	1800	40	1.200000	1.455000	1.746000	901082088	110891	25629	559888058	749825	1035106188	114
1495799625460662918	parsec.freqmine	1	1800	40	1.200000	1.479000	1.774000	901082495	111759	26128	551982580	806717	1022813590	112
1495799625969850145	parsec.freqmine	1	1800	40	1.200000	1.469000	1.762000	901203350	109724	25113	546025675	807240	1017083059	113
1495799626478876812	parsec.freqmine	1	1800	40	1.200000	1.467000	1.760000	901086289	111400	25827	557177428	714106	1033237870	115
1495799626987968402	parsec.freqmine	1	1800	40	1.200000	1.476000	1.771000	901072358	109709	25154	554745914	792451	1025080042	112
1495799627497136847	parsec.freqmine	1	1800	40	1.200000	1.460000	1.752000	901204678	113337	26969	534399126	857855	1002648889	115
1495799628006329462	parsec.freqmine	1	1800	40	1.200000	1.477000	1.772000	901082262	109649	25266	553907044	804208	1023288347	112
1495799628515407934	parsec.freqmine	1	1800	40	1.200000	1.459000	1.750000	901055538	111977	26269	546463663	847636	1013301711	113
1495799629024545285	parsec.freqmine	1	1800	40	1.200000	1.464000	1.756000	901065545	111630	24915	537477160	886441	1002304754	112
1495799629534008314	parsec.freqmine	1	1800	40	1.200000	1.443000	1.731000	901087536	91723	26948	479733649	939102	957239032	121
1495799630043159270	parsec.freqmine	1	1800	40	1.100000	1.262000	1.511000	901341245	108063	32519	295952821	1122289	754318633	156
1495799630552387150	parsec.freqmine	1	1800	40	1.100000	1.205000	1.443000	901072844	221755	94259	265258660	1789999	646602237	1191
1495799631061629541	parsec.freqmine	1	1800	39	1.100000	1.228000	1.471000	901095196	156746	68409	287780838	2505408	705794065	733
1495799631570754851	parsec.freqmine	1	1800	39	1.200000	1.292000	1.550000	901104674	163548	73271	285374144	2733845	680703651	776
1495799632080014508	parsec.freqmine	1	1800	39	1.100000	1.294000	1.550000	606829836	616536	206080	177905214	1886026	398091295	2989
1495799632589750031	parsec.streamcluster	1	1800	39	1.100000	1.220000	1.461000	901214491	9242377	2691394	199340790	3162006	390944527	46336
1495799633099378490	parsec.streamcluster	1	1800	39	1.100000	0.790000	0.945000	901250845	9240670	2675136	197801777	3145628	387710334	46559
1495799633609328977	parsec.streamcluster	1	1800	39	1.100000	1.183000	1.417000	899360477	8935812	2612919	201955419	3090707	404183915	45101
1495799634119079944	parsec.streamcluster	1	1800	39	1.100000	1.189000	1.424000	893333755	1217430	446995	305618667	1378244	681690111	7429
1495799634628340857	parsec.streamcluster	1	1800	39	1.200000	1.370000	1.644000	901110926	59304	21767	295261966	1119657	677791874	116
1495799635137577210	parsec.streamcluster	1	1800	40	1.200000	1.414000	1.696000	901097438	58638	22126	295344149	1120242	678027745	117
1495799635646845040	parsec.streamcluster	1	1800	40	1.200000	1.416000	1.699000	901099905	57707	21895	295400154	1119843	678269178	116
1495799636156091354	parsec.streamcluster	1	1800	40	1.200000	1.417000	1.700000	901083474	59003	22592	295282409	1120456	677902675	117
1495799636665234851	parsec.streamcluster	1	1800	40	1.200000	1.418000	1.701000	901099793	57751	22081	295238605	1120272	678121075	114
1495799637174436291	parsec.streamcluster	1	1800	40	1.200000	1.418000	1.701000	901221225	59659	23942	295426573	1120162	678045937	117
1495799637683810741	parsec.streamcluster	1	1800	40	1.200000	1.418000	1.701000	901365005	58425	23768	295424460	1121172	678365462	117
1495799638193213136	parsec.streamcluster	1	1800	40	1.200000	1.419000	1.702000	901263878	61032	24107	295339296	1121027	678322387	117
1495799638702451997	parsec.streamcluster	1	1800	40	1.200000	1.418000	1.701000	901226350	60387	23842	294992473	1120938	677791689	118
1495799639211740680	parsec.streamcluster	1	1800	41	1.200000	1.418000	1.701000	901241522	58911	22091	294267335	1124624	678252384	117
1495799639720995740	parsec.streamcluster	1	1800	41	1.200000	1.416000	1.699000	901220678	57693	21493	294189397	1126852	678630773	116
1495799640230238749	parsec.streamcluster	1	1800	41	1.200000	1.416000	1.699000	901230970	58648	22215	294079730	1123993	678825715	114
1495799640739541465	parsec.streamcluster	1	1800	41	1.200000	1.417000	1.700000	901230682	59471	22303	293750942	1125516	678501152	112
1495799641248799756	parsec.streamcluster	1	1800	41	1.200000	1.416000	1.699000	901344825	60391	22214	293567404	1128373	678730147	114
1495799641757989709	parsec.streamcluster	1	1800	41	1.200000	1.416000	1.699000	901210800	58233	22160	293617711	1128366	678952273	112
1495799642267266321	parsec.streamcluster	1	1800	41	1.200000	1.416000	1.699000	901227098	61466	23890	293030507	1151522	677985232	115
1495799642776518008	parsec.streamcluster	1	1800	41	1.200000	1.415000	1.698000	901212712	58270	22676	292960405	1152185	678216159	113
1495799643285729856	parsec.streamcluster	1	1800	41	1.200000	1.416000	1.699000	901226613	58869	23157	292849868	1155056	677954555	113
1495799643795130608	parsec.streamcluster	1	1800	41	1.200000	1.415000	1.698000	901215517	58298	22948	291620150	1244672	675517734	112
1495799644304775687	parsec.streamcluster	1	1800	41	1.200000	1.414000	1.696000	901220450	58441	24084	291584994	1241778	675607724	113
1495799644814010545	parsec.streamcluster	1	1800	41	1.200000	1.414000	1.696000	901436928	58221	23119	291549603	1245269	675537959	113
1495799645323236275	parsec.streamcluster	1	1800	41	1.200000	1.413000	1.695000	901257037	58475	23876	291500086	1243278	675432085	113
1495799645832482652	parsec.streamcluster	1	1800	41	1.200000	1.413000	1.695000	901232525	57208	23526	291520655	1250382	675434973	112
1495799646341783778	parsec.streamcluster	1	1800	41	1.200000	1.412000	1.694000	901237005	59542	23807	291537966	1252882	675590658	113
1495799646851102298	parsec.streamcluster	1	1800	41	1.200000	1.413000	1.695000	901348785	59028	23467	290774908	1266238	673964677	113
1495799647360255443	parsec.streamcluster	1	1800	41	1.200000	1.412000	1.694000	901106585	59682	22716	290498105	1267631	673323335	113
1495799647869474688	parsec.streamcluster	1	1800	41	1.200000	1.412000	1.694000	901110920	58570	21575	290620842	1269454	673736309	112
