#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495831145329721128	parsec.facesim	1	1800	40	1.2	1.348	1.618	901141914	7350908	30184	396738930	6443409	791374217	114	224	928750	44651458	396815742	232908512	13874885
1495831145838966709	parsec.facesim	1	1800	40	1.2	1.319	1.583	901081168	4317423	29004	342465963	5376840	722686912	137	1232	106744	31151007	224358109	134357846	11684267
1495831146348264062	parsec.facesim	1	1800	40	1.1	1.147	1.374	901083610	107209	50488	182434432	1191401	385234451	619	224	22053	6744514	178937632	96099532	16319160
1495831146857469626	parsec.facesim	1	1800	39	1.1	1.103	1.321	901079560	51483	21715	171581781	239791	351204673	116	226	22707	6685120	177121625	95226521	16096951
1495831147366732087	parsec.facesim	1	1800	39	1.1	1.093	1.309	901084222	54748	23156	170758136	237453	348468009	117	224	22229	6661739	176560805	94887998	16095502
1495831147876021340	parsec.facesim	1	1800	39	1.1	1.107	1.326	901105615	51536	22079	166579327	230950	339416055	116	228	24244	6878947	181908865	97367027	16927584
1495831148385305950	parsec.facesim	1	1800	39	1.1	1.100	1.318	901080747	53360	23140	166125307	232858	338891349	117	224	21877	6707085	178415664	95830148	16255549
1495831148894528811	parsec.facesim	1	1800	39	1.1	1.099	1.316	901123455	51269	22044	166405476	230977	339036284	116	228	22777	6753697	179407893	96335285	16384297
1495831149403812528	parsec.facesim	1	1800	39	1.1	1.096	1.312	901077434	52960	22916	167070841	233462	340856784	117	224	22375	6716978	178463490	95874256	16264437
1495831149913134265	parsec.facesim	1	1800	39	1.1	1.099	1.316	901109677	52585	22694	167263302	232532	340811903	117	226	22422	6674348	177212457	95213595	16114725
1495831150422403672	parsec.facesim	1	1800	39	1.1	1.096	1.313	901074345	53719	22933	165815223	230580	338151010	117	218	22823	6688063	176919398	95057679	16207355
1495831150931625579	parsec.facesim	1	1800	39	1.1	1.097	1.315	901080122	51057	22272	169851280	237463	346681415	116	226	22722	6824397	180517581	96626147	16687899
1495831151440927654	parsec.facesim	1	1800	39	1.1	1.102	1.321	901080075	53374	22828	165406435	230661	337547752	117	224	22018	6745703	179032743	96086411	16331246
1495831151950233460	parsec.facesim	1	1800	39	1.1	1.092	1.309	901096670	52992	22299	168484387	235182	343398023	116	228	23826	6687315	177255583	95255731	16136431
1495831152459574037	parsec.facesim	1	1800	39	1.1	1.107	1.326	901074607	53606	23032	169418357	235203	345626990	117	224	21867	6693026	177869469	95538351	16195116
1495831152968927782	parsec.facesim	1	1800	39	1.1	1.089	1.305	901215633	51291	22194	165629194	231259	337810234	116	228	22949	6724280	178513941	95873793	16267824
1495831153478160695	parsec.facesim	1	1800	39	1.1	1.092	1.308	901203785	52775	23195	167882058	233299	342201053	117	224	22764	6559719	173717377	93438672	15707022
1495831153987470338	parsec.facesim	1	1800	39	1.1	1.089	1.305	901219972	53238	22584	165850574	231407	338221316	118	226	23785	6716632	178147426	95737821	16225749
