#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495862737006529270	parsec.freqmine	1	1800	42	1.200000	1.414000	1.698000	901080725	226	10639188	149320225	550084632	392719638	2042393
1495862737515660530	parsec.freqmine	1	1800	42	1.200000	1.403000	1.685000	901207895	224	10603610	149601032	552656835	393592572	1857914
1495862738024992290	parsec.freqmine	1	1800	42	1.200000	1.406000	1.688000	901227130	232	10396826	148676243	533141552	378720555	2507158
1495862738534507800	parsec.freqmine	1	1800	42	1.200000	1.387000	1.665000	901202700	262	6268917	142901276	389213499	238289369	8419208
1495862739043743143	parsec.freqmine	1	1800	42	1.200000	1.183000	1.419000	901200010	365	6848447	131915908	348312797	242201342	8745353
1495862739553007736	parsec.freqmine	1	1800	42	1.200000	1.295000	1.554000	901297640	1708	9646801	129145966	383087047	304527885	7576642
1495862740062092413	parsec.freqmine	1	1800	42	1.200000	1.238000	1.485000	901188030	1577	11719904	122990096	288448157	309840614	11364933
1495862740571347715	parsec.freqmine	1	1800	42	1.200000	1.285000	1.542000	901198340	1540	11629169	127116720	300268339	320819187	12571280
1495862741080514100	parsec.freqmine	1	1800	42	1.200000	1.295000	1.554000	901188085	4395	12286319	121235677	289625439	331220227	12531802
1495862741590250484	parsec.streamcluster	1	1800	41	1.100000	0.744000	0.890000	615655204	55262	3618982	55733148	138806794	160949703	10226224
1495862742100216535	parsec.streamcluster	1	1800	41	1.200000	1.161000	1.393000	901407560	83732	5348833	79125500	199088603	235802703	15179220
1495862742610329794	parsec.streamcluster	1	1800	41	1.200000	1.166000	1.399000	901379929	35577	2584855	65484464	285100431	216278470	22490511
1495862743119718970	parsec.streamcluster	1	1800	42	1.200000	1.327000	1.592000	901243145	224	1279223	33793001	297587699	197915724	34526548
1495862743629074022	parsec.streamcluster	1	1800	42	1.200000	1.408000	1.691000	901194895	226	1272386	33831955	297790042	197854479	34559006
1495862744138330115	parsec.streamcluster	1	1800	42	1.200000	1.411000	1.694000	901234115	224	1273953	33831358	297763583	197890780	34539383
1495862744647581334	parsec.streamcluster	1	1800	43	1.200000	1.410000	1.692000	901222551	226	1264623	33699516	297172337	197328322	34498236
1495862745156830510	parsec.streamcluster	1	1800	43	1.200000	1.409000	1.692000	901259444	224	1262934	33787633	297611543	197529004	34543946
1495862745666188604	parsec.streamcluster	1	1800	43	1.200000	1.410000	1.693000	901246879	226	1274518	33803479	297406267	197714690	34509779
1495862746175382197	parsec.streamcluster	1	1800	43	1.200000	1.410000	1.692000	901227532	224	1264278	33768101	297338521	197411847	34515652
1495862746684698540	parsec.streamcluster	1	1800	43	1.200000	1.412000	1.695000	901384369	230	1276205	33780749	297906723	197995394	34571815
1495862747193924217	parsec.streamcluster	1	1800	43	1.200000	1.412000	1.695000	901141869	226	1260914	33774352	297468469	197403561	34533820
1495862747703358643	parsec.streamcluster	1	1800	43	1.200000	1.414000	1.698000	901325665	226	1180519	33453408	296088875	194530949	34491728
1495862748212756820	parsec.streamcluster	1	1800	43	1.200000	1.408000	1.691000	901242947	226	1153012	33441618	296568599	194221889	34558856
1495862748722119538	parsec.streamcluster	1	1800	43	1.200000	1.408000	1.689000	901241865	224	1123707	33423389	296656224	193589444	34579441
1495862749231385506	parsec.streamcluster	1	1800	43	1.200000	1.410000	1.692000	901228695	226	1118869	33427025	296517074	193381183	34590298
1495862749740671016	parsec.streamcluster	1	1800	43	1.200000	1.410000	1.693000	901224554	224	1086302	33214446	295937529	192273826	34561070
1495862750250025276	parsec.streamcluster	1	1800	44	1.200000	1.407000	1.689000	901478601	228	1084099	33304358	296206734	192374177	34586845
1495862750759331828	parsec.streamcluster	1	1800	44	1.200000	1.408000	1.691000	901230785	230	1072647	33303453	295470264	191672644	34587649
1495862751268473921	parsec.streamcluster	1	1800	44	1.200000	1.409000	1.690000	901228133	226	1049834	33073337	295107148	190922789	34565652
1495862751777846681	parsec.streamcluster	1	1800	44	1.200000	1.407000	1.688000	901234605	224	1050666	33166454	295412790	191117232	34592190
1495862752287107566	parsec.streamcluster	1	1800	44	1.200000	1.406000	1.688000	901233171	226	1043406	33064242	293096704	189643291	34510880
1495862752796543868	parsec.streamcluster	1	1800	44	1.200000	1.403000	1.683000	901226989	224	1027081	32987563	294185903	189850547	34670284
