#Timestamp	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481345062796324018	751023075	427152338	109	218	0	3588877	103099035
1481345063296931239	750906043	615118460	110	220	0	316112	144100740
1481345063797535418	750904330	547356161	109	218	0	2278955	127056186
1481345064298139473	750907049	543896512	110	220	0	3670725	128791876
1481345064798744360	750905325	607365637	109	218	0	3110876	140599578
1481345065299348540	750905616	602425583	109	218	0	2597854	140679607
1481345065800061803	751064802	433626384	110	220	0	754434	107552299
1481345066300662524	750904177	433594925	108	216	0	754554	107542960
1481345066801268828	750907940	433605146	109	218	0	754245	107544139
1481345067301875257	750905786	470206032	110	220	0	2642516	123530727
1481345067802496228	504042097	330345225	142	250	3	3385599	92561767
1481345068303120407	750934142	1098693542	946	1573	2	650800	57880170
1481345068803813087	751039939	1115479930	109	218	0	562991	57796827
1481345069304498225	751026626	1120671957	109	218	0	564042	58058221
1481345069805229154	751094869	1121012822	110	220	0	565115	58084829
1481345070305909250	751019726	1114375756	109	218	0	561770	57737083
1481345070806582180	751008107	1118524327	109	218	0	563505	57952973
1481345071307272276	751031359	1119809340	108	216	0	563363	58012746
1481345071807952205	751020653	1117445712	109	218	0	563357	57898024
1481345072308628510	751015286	1118332356	109	218	0	563387	57933844
1481345072809367898	751105879	1119033000	109	218	0	564195	57978096
1481345073309995119	750866895	1118059552	109	218	0	563441	57926384
1481345073810656798	751063447	1117963258	109	218	0	563853	57922625
1481345074311314811	750986333	1115364876	109	218	0	562933	57782071
1481345074811973032	750984340	1115322862	109	218	0	562546	57788535
1481345075312631420	750985543	1114559287	109	218	0	561541	57744543
1481345075813294933	750994178	1114361778	108	216	0	561620	57734434
1481345076313952695	750985305	1115738431	109	218	0	562361	57806921
1481345076814611375	750983973	1115599047	109	218	0	562963	57799656
1481345077315412221	751203777	1118807362	110	220	0	564296	57966988
1481345077816069109	750982519	1118782495	108	216	0	564396	57964930
1481345078316729080	750987951	1118143755	109	218	0	563686	57929625
1481345078817395634	750997596	1118565382	109	218	0	564158	57947418
1481345079318054397	750988739	1117998249	109	218	0	563713	57923085
1481345079818710618	750980519	1116614433	109	218	0	563388	57850871
1481345080319364131	750979335	1116173693	109	218	0	562073	57820182
1481345080820038602	751007019	1115185666	109	218	0	562435	57778927
1481345081320690198	750981274	1115181825	109	218	0	561581	57768933
1481345081821344669	750979775	1116739422	109	218	0	563078	57857238
1481345082322015140	750997981	1116876322	109	218	0	563142	57865841
1481345082822750111	751107293	1118907341	109	218	0	564745	57968584
1481345083323439541	751033565	1120596619	109	218	0	564534	58053170
1481345083824129345	751032541	1120575772	109	218	0	564648	58058220
1481345084324924400	655187653	966854172	145	269	1	508351	49183982
1481345084825652579	598776022	787616929	945	1557	4	3843667	41186590
1481345085326352342	751050327	1013183043	109	218	0	4844544	51521048
1481345085827041272	751034235	1013145403	108	216	0	4844561	51521119
1481345086327716868	751011351	1011820934	109	218	0	4838179	51455747
1481345086828397381	751015272	1011909591	109	218	0	4838544	51458691
1481345087329078227	751022990	1011903453	109	218	0	4837806	51460574
1481345087829757240	751015615	1013061209	109	218	0	4844132	51520545
1481345088330572419	751221218	1011162492	110	220	0	4834501	51425060
1481345088831276015	751053851	1010462300	109	218	0	4831101	51391260
1481345089331956278	751021266	1013227181	109	218	0	4843857	51528070
1481345089832631874	751010676	1011776728	109	218	0	4838680	51454837
1481345090333313595	751022517	1011780566	109	218	0	4838728	51449520
1481345090834013900	751047562	1013191787	108	216	0	4844997	51516089
1481345091334695621	751020938	1012146706	109	218	0	4839622	51470338
1481345091835463134	751147610	1011081410	110	220	0	4835483	51422308
1481345092336142188	751020914	1012472398	109	218	0	4841559	51490453
1481345092836825493	751019594	1011893170	109	218	0	4838795	51459187
1481345093337503464	751018167	1010669725	109	218	0	4832016	51399085
1481345093838090935	750878158	1011668922	109	218	0	4837216	51449641
1481345094338680989	750883905	1012969259	108	216	0	4843919	51512444
1481345094839270502	750883987	1012866740	109	218	0	4843337	51511170
1481345095339860681	750881601	1012930977	108	216	0	4843631	51505470
1481345095840514361	750979222	1011762725	110	220	0	4838782	51451987
1481345096341106915	750886841	1012879646	109	218	0	4843305	51510012
1481345096841690552	750875529	1012801090	109	218	0	4843137	51507993
1481345097342277898	750881806	1010595143	109	218	0	4832067	51391120
1481345097842863244	750874166	1012057389	109	218	0	4839717	51470940
1481345098343451507	750881846	1010812965	109	218	0	4833443	51404397
1481345098844034394	750872989	1010790068	109	218	0	4833467	51407028
1481345099344619782	750876768	1010944554	109	218	0	4833891	51409376
1481345099845327753	751058841	1012732326	110	220	0	4842897	51508032
1481345100345914182	750880517	1010538869	108	216	0	4832107	51390641
1481345100846493612	750867484	1011624312	109	218	0	4837839	51440619
1481345101347075583	750871804	1012414044	109	218	0	4841327	51487387
1481345101847655929	750868401	1012176290	109	218	0	4841543	51475150
1481345102348240608	750874659	1012776136	109	218	0	4844037	51498723
1481345102848824662	750874886	1012761719	111	221	0	4784722	50928007
1481345103349508467	504683638	365582900	24481	25178	5	3578839	38484589
1481345103850231354	746627477	356704156	32091	32218	0	5938426	63034603
1481345104350865450	750960877	358646993	32227	32355	0	5973198	63431341
1481345104851513005	750956778	359051280	32293	32423	0	5978529	63467158
1481345105352155476	750975277	359144266	32304	32430	0	5979399	63481441
1481345105852793655	750957125	359393238	32329	32458	0	5963417	63531564
1481345106353440793	749401273	358167069	32198	32330	0	5963460	63320734
1481345106854081889	746410796	356821612	32065	32195	0	5927506	63077681
1481345107354718985	750955256	358743057	32275	32399	0	5975580	63415922
1481345107855406248	751028720	358900771	32242	32370	0	5953952	63473988
1481345108356040302	750951980	358836602	32281	32410	0	5975220	63435859
1481345108856649273	750317972	358573356	32267	32396	0	5974731	63382212
1481345109357283161	750941512	358784461	32250	32375	0	5966813	63423355
1481345109857901799	749037754	358058968	32201	32334	0	5956289	63284321
1481345110358538645	750884496	358660278	32232	32362	0	5969030	63420646
1481345110859157782	750894472	358727271	32233	32365	0	5972808	63427873
1481345111359803753	749236952	358061485	32215	32347	0	5958996	63293996
1481345111860513433	749117032	357683297	32140	32278	0	5957702	63243053
1481345112361142654	750507505	359152636	32304	32437	0	5980287	63487375
1481345112861794208	748703589	357663201	32176	32311	0	5944155	63220334
1481345113362533804	751104128	358763164	32259	32389	0	5976789	63422754
1481345113863194359	750994888	358510768	32259	32397	0	5976295	63393706
1481345114363844205	743701664	355449634	31948	32082	0	5917248	62825820
1481345114864500009	746760786	356629693	32075	32212	0	5939944	63055005
1481345115365216939	750929433	358728469	32229	32363	0	5977265	63435695
1481345115865864410	750445621	358573239	32258	32395	0	5960163	63401689
1481345116366518506	750975748	358979167	32274	32406	0	5976971	63444599
