#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211457950105634	automotive_susan_c	1	2000	54	1.300000	1.787000	2.373000	1001405330	0	2740614	1311046	1582143	658960689	1537489
1481211458459316114	automotive_susan_c	1	2000	54	1.300000	1.779000	2.362000	1001219826	0	2753577	1329843	1581771	657318256	1541389
1481211458969179555	automotive_susan_c	1	2000	54	1.300000	1.792000	2.379000	1001216685	0	2767731	1345528	1618343	649596023	1551124
1481211459478634057	automotive_susan_c	1	2000	54	1.300000	1.774000	2.354000	1001289625	0	2758784	1336985	1581479	656225078	1546431
1481211459988225104	automotive_susan_c	1	2000	54	1.300000	1.801000	2.389000	1001228335	0	2756315	1325213	1580984	655856118	1541000
1481211460497685879	automotive_susan_c	1	2000	54	1.300000	1.771000	2.350000	1001389299	0	2739432	1318055	1601802	654182687	1534769
1481211461007561944	automotive_susan_c	1	2000	54	1.300000	1.794000	2.380000	1001443291	0	2794558	1327450	1602548	652187640	1562666
1481211461516843949	automotive_susan_c	1	2000	54	1.300000	1.774000	2.354000	1001392894	0	2753668	1313845	1583589	657644253	1538208
1481211462026647704	automotive_susan_c	1	2000	54	1.300000	1.792000	2.377000	1001393521	0	2769755	1324646	1585109	656931513	1540241
1481211462536328223	automotive_susan_c	1	2000	54	1.300000	1.783000	2.366000	1001360820	0	2794036	1343082	1616695	649525303	1550768
1481211463045789417	automotive_susan_c	1	2000	54	1.300000	1.782000	2.364000	1001440615	0	2734643	1333560	1581445	656641156	1544412
1481211463555061081	automotive_susan_c	1	2000	54	1.300000	1.788000	2.372000	1001400760	0	2731454	1316887	1582746	656702439	1541295
1481211464064800167	automotive_susan_c	1	2000	54	1.300000	1.774000	2.354000	1001657905	0	2779912	1319768	1607418	653187119	1542955
1481211464574686344	automotive_susan_c	1	2000	54	1.300000	1.795000	2.381000	1001266890	0	2803708	1338710	1602074	651536352	1563377
1481211465084140908	automotive_susan_c	1	2000	54	1.300000	1.768000	2.346000	1001239544	0	2716938	1319878	1586449	656958558	1549417
1481211465593435937	automotive_susan_c	1	2000	54	1.300000	1.795000	2.381000	1001232961	0	2725183	1329425	1585243	656832903	1553286
1481211466103161266	automotive_susan_c	1	2000	54	1.300000	1.776000	2.356000	1001224120	0	2769882	1339963	1617047	649830544	1558100
1481211466612526893	automotive_susan_c	1	2000	54	1.300000	1.781000	2.363000	1001320275	0	2752047	1338935	1595713	654105979	1561766
1481211467122493029	automotive_susan_c	1	2000	54	1.300000	1.790000	2.375000	1001209594	0	2735935	1310373	1588262	656373596	1553566
1481211467631679544	automotive_susan_c	1	2000	54	1.300000	1.771000	2.350000	1001233530	0	2724153	1327285	1602617	655501509	1547683
1481211468141664613	automotive_susan_c	1	2000	54	1.300000	1.795000	2.381000	1001375860	0	2783132	1334830	1609245	649830354	1574213
1481211468651469054	automotive_susan_c	1	2000	54	1.300000	1.775000	2.355000	1001273514	0	2730927	1333911	1584770	656933369	1550717
1481211469160823348	automotive_susan_c	1	2000	54	1.300000	1.790000	2.375000	1001221526	0	2717744	1325942	1585167	656447536	1554266
1481211469670152429	automotive_susan_c	1	2000	54	1.300000	1.777000	2.358000	1001245879	0	2767048	1325916	1611011	652565987	1555707
1481211470179485070	automotive_susan_e	1	2000	53	1.300000	1.784000	2.367000	653651353	0	1133404	491050	803147	432267088	585587
1481211470688554455	automotive_susan_e	1	2000	53	1.300000	1.594000	2.115000	1001213910	0	1366025	657003	1188959	674911292	793257
1481211471198120941	automotive_susan_e	1	2000	54	1.300000	1.760000	2.335000	1001266180	0	1398529	643616	1164901	680686863	775375
1481211471707323626	automotive_susan_e	1	2000	54	1.300000	1.786000	2.370000	1001212395	0	1306713	630143	1162630	683480382	758184
1481211472216975373	automotive_susan_e	1	2000	54	1.300000	1.807000	2.397000	1001311284	0	1307852	629236	1170734	683784737	756511
