#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481340977590554503	automotive_susan_c	1	2000	57	1.300000	1.797000	2.386000	1001224498	1173670364	13568	26668	0	2958118	70340770
1481340978099995491	automotive_susan_c	1	2000	57	1.300000	1.803000	2.394000	1001225726	1173039678	13549	26630	0	2959182	70286204
1481340978609344146	automotive_susan_c	1	2000	57	1.300000	1.805000	2.397000	1001243506	1173837808	13548	26629	0	2960535	70300434
1481340979119290260	automotive_susan_c	1	2000	57	1.300000	1.808000	2.401000	1001435179	1173236854	13550	26631	0	2961915	70275011
1481340979628762206	automotive_susan_c	1	2000	57	1.300000	1.804000	2.395000	1001389840	1174209323	13552	26637	0	2948623	70286930
1481340980138112694	automotive_susan_c	1	2000	57	1.300000	1.804000	2.395000	1001286571	1173575429	13551	26633	0	2947012	70254150
1481340980647635183	automotive_susan_c	1	2000	57	1.300000	1.799000	2.389000	1001295935	1173573316	13554	26640	0	2956836	70240375
1481340981156947254	automotive_susan_c	1	2000	57	1.300000	1.792000	2.379000	1001289715	1173077180	13547	26626	0	2963612	70233656
1481340981666588076	automotive_susan_c	1	2000	57	1.300000	1.792000	2.379000	1001284915	1173176515	13549	26630	0	2960813	70226660
1481340982176073064	automotive_susan_c	1	2000	57	1.300000	1.793000	2.381000	1001282125	1173349788	13576	26684	0	2977365	70334523
1481340982685341843	automotive_susan_c	1	2000	57	1.300000	1.795000	2.383000	1001241370	1173296580	13578	26688	0	2974266	70342883
1481340983194829290	automotive_susan_c	1	2000	57	1.300000	1.801000	2.389000	1001401175	1172740740	13578	26688	0	2975226	70331622
1481340983704092652	automotive_susan_c	1	2000	57	1.300000	1.801000	2.389000	1001253439	1174319610	13522	26579	0	2976356	70285053
1481340984213607932	automotive_susan_c	1	2000	57	1.300000	1.803000	2.394000	1001350205	1175446927	13482	26494	0	2963370	70241874
1481340984723021670	automotive_susan_c	1	2000	57	1.300000	1.800000	2.390000	1001324824	1175739072	13508	26550	0	2965293	70297536
1481340985233074785	automotive_susan_e	1	2000	56	1.300000	1.796000	2.385000	672004461	909074942	5485	10435	5	1799229	47457991
1481340985742387106	automotive_susan_e	1	2000	56	1.300000	1.846000	2.451000	1001247505	1429359152	5826	11397	0	2650246	74038497
1481340986251528052	automotive_susan_e	1	2000	57	1.300000	1.874000	2.488000	1001254025	1431865823	5824	11393	0	2697093	76180426
1481340986761164957	automotive_susan_e	1	2000	57	1.300000	1.868000	2.480000	1001256720	1416662309	5877	11483	0	2642729	74024007
1481340987270360861	automotive_susan_e	1	2000	56	1.300000	1.832000	2.432000	1001549190	1422652425	6153	12050	0	2626274	73936705
1481340987779620766	automotive_susan_e	1	2000	57	1.300000	1.871000	2.484000	1001232920	1430038997	5825	11395	0	2609871	73543941
1481340988288735628	automotive_susan_e	1	2000	56	1.300000	1.874000	2.488000	1001262295	1430583724	5824	11393	0	2611249	73548547
1481340988797985574	automotive_susan_e	1	2000	56	1.300000	1.808000	2.401000	1001416555	1429728389	5825	11395	0	2642590	73874718
1481340989307690938	automotive_susan_e	1	2000	56	1.300000	1.777000	2.359000	1001251260	1428689232	5824	11393	0	2659437	74475417
1481340989816752175	automotive_susan_e	1	2000	56	1.300000	1.804000	2.395000	1001258105	1428442081	5828	11398	0	2678288	75758587
1481340990326147413	automotive_susan_e	1	2000	56	1.300000	1.854000	2.462000	1001293645	1416541746	5992	11716	0	2653181	74065846
1481340990835804652	automotive_susan_e	1	2000	56	1.300000	1.775000	2.360000	1001376125	1427870603	6036	11816	0	2616641	73684858
1481340991344823347	automotive_susan_e	1	2000	56	1.300000	1.789000	2.375000	1001201440	1435456176	5824	11393	0	2592960	73225746
1481340991853834043	automotive_susan_e	1	2000	56	1.300000	1.796000	2.385000	1001203284	1436628060	5825	11395	0	2614233	73648161
1481340992362966155	automotive_susan_e	1	2000	56	1.300000	1.807000	2.399000	1001209615	1437502123	5824	11391	0	2678489	76219281
1481340992872011476	automotive_susan_e	1	2000	56	1.300000	1.798000	2.387000	1001220531	1418647124	6205	12140	0	2626926	73984964
1481340993381250339	automotive_susan_e	1	2000	56	1.300000	1.815000	2.410000	1001191915	1436046318	5824	11393	0	2583968	73221827
1481340993890418576	automotive_susan_e	1	2000	56	1.300000	1.812000	2.406000	1001352185	1436166933	5826	11397	0	2601146	73429868
1481340994399616522	automotive_susan_e	1	2000	56	1.300000	1.834000	2.435000	1001351295	1434552091	5824	11393	0	2661721	74357796
1481340994909067636	automotive_susan_e	1	2000	56	1.300000	1.806000	2.398000	1001365575	1428098484	5833	11403	0	2664069	75627194
1481340995418035873	automotive_susan_e	1	2000	56	1.300000	1.805000	2.397000	1001454810	1424552859	6198	12132	0	2629931	73731011
1481340995927690611	automotive_susan_e	1	2000	56	1.300000	1.785000	2.370000	1001326329	1433117810	5825	11395	0	2602431	73235078
1481340996436679349	automotive_susan_e	1	2000	56	1.300000	1.775000	2.357000	1001338926	1435282133	5824	11393	0	2615793	73511820
1481340996946199962	automotive_susan_e	1	2000	56	1.300000	1.776000	2.358000	1001327860	1433928115	5825	11395	0	2662979	74635535
1481340997455345491	automotive_susan_e	1	2000	56	1.300000	1.778000	2.361000	1001366930	1425295679	5857	11446	0	2662321	75346447
1481340997964475145	automotive_susan_s	1	2000	55	1.300000	1.105000	1.464000	674125207	1038189672	1665	2936	5	6842594	108912216
1481340998473359132	automotive_susan_s	1	2000	56	1.300000	1.927000	2.559000	1001313527	1606772705	359	679	0	11228644	175774266
1481340998982402120	automotive_susan_s	1	2000	56	1.300000	1.919000	2.548000	1001520352	1616837982	277	528	0	11299144	176709380
1481340999491401898	automotive_susan_s	1	2000	56	1.300000	1.931000	2.564000	1001160602	1607189593	358	677	0	11223033	175776131
1481341000000426094	automotive_susan_s	1	2000	56	1.300000	1.920000	2.549000	1001174878	1616649761	276	526	0	11299035	176710167
1481341000509373040	automotive_susan_s	1	2000	56	1.300000	1.928000	2.560000	1001171712	1606882399	358	677	0	11219183	175720650
1481341001018350610	automotive_susan_s	1	2000	56	1.300000	1.923000	2.553000	1001166058	1616829792	276	526	0	11299482	176748825
1481341001527583264	automotive_susan_s	1	2000	56	1.300000	1.921000	2.551000	1001165379	1606862657	359	679	0	11226490	175771521
