#Timestamp	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495813599399701190	500759048	2261005	699133	81136299	875151	171360633	12271
1495813599900386087	500685933	165827	83349	55747699	146743	134098463	908
1495813600401067192	500682099	160458	81999	55728796	150050	134068322	907
1495813600901749839	500683196	170791	87491	55832438	150830	134040042	955
1495813601402452235	500704141	162086	82047	55652422	145651	133880581	902
1495813601903197549	500745723	162946	82080	55617141	144128	133852535	901
1495813602403862196	500664745	159794	80946	55638374	145139	133829891	905
1495813602904473842	500611403	163311	82647	55627643	145521	133834195	903
1495813603405083239	500612271	162235	80967	55652032	144535	133913841	903
1495813603905689969	500606256	162800	81347	55646254	141915	133870972	902
1495813604406301158	500610612	163495	82226	55658087	144632	133882974	906
1495813604906914638	500614321	163110	81782	55626360	143350	133837900	904
1495813605407522993	500610459	161780	81105	55653643	142718	133896250	904
1495813605908127099	500603521	165729	81417	55685149	144210	133942306	906
1495813606408778912	500652512	165220	81264	55619968	142414	133853394	903
1495813606909382934	500606412	164701	81580	55676057	142187	133885421	904
1495813607409987914	500604276	163994	80901	55652911	141833	133866061	899
1495813607910602228	500614424	163992	80600	55644307	144244	133867703	904
1495813608411215458	500615146	163355	81294	55682421	144479	133936673	907
1495813608911823313	500608418	164538	82009	55625737	144237	133857889	904
1495813609412429085	500607206	163259	81803	55644564	144247	133863466	905
1495813609913045357	500613265	236113	121805	86589079	284113	383982392	1478
1495813610413656754	500612661	190873	100736	119977375	370094	707195572	916
1495813610914297734	500613720	196904	102055	119922330	374628	707248139	917
1495813611414902756	500634426	477609	245297	120801878	1775902	601140671	3435
1495813611915577403	500674440	624609	316824	86324444	7417878	209857000	4742
1495813612416188174	500613954	1348901	722812	139136523	2601927	312040812	11607
1495813612916796946	500610000	539787	283844	149359495	3081995	328079905	4314
1495813613417391760	500593860	111363	26505	266228038	503841	551307492	126
1495813613917983573	500592717	107279	25428	294431768	466929	562393411	118
1495813614418599262	500614962	108478	26020	301493216	428547	568913186	117
1495813614919192076	500595910	106660	25579	310549355	374919	579844029	112
1495813615419776472	500585541	105314	24812	310395252	397528	578391859	112
1495813615920424411	500635958	98030	24561	300128825	483726	563852331	112
1495813616421117141	500710455	89529	25392	293254164	508255	557566223	118
1495813616921723038	500601621	110341	26080	294830144	527168	556172602	117
1495813617422340685	500615345	102686	23639	313853618	356432	584837390	112
1495813617922961373	500624696	105522	24976	311900604	355723	581912408	112
1495813618423638187	500678079	106222	25036	309125951	414736	575064075	113
1495813618924256417	500619822	107140	25421	311157225	404659	577755068	112
1495813619424875897	500620043	106426	24792	300693914	481035	567639881	114
1495813619925490669	500615428	106565	25156	310449173	397780	578017776	112
1495813620426112441	500618418	105149	24838	313992750	356409	583840267	112
1495813620926724421	500616277	106438	24917	312532322	374404	580687353	112
1495813621427391693	500666682	106280	24603	310884208	405004	577887913	112
1495813621928013381	500623540	106695	25019	308668208	429657	572734902	111
1495813622428639736	500625847	106191	24917	305603991	439181	569814044	112
1495813622929257383	500617644	110358	26120	301615011	461027	567134684	115
1495813623429872072	500616977	105087	24721	309544203	381367	577649621	112
1495813623930501219	500627097	105852	24812	312269417	390694	581676431	112
1495813624431118782	500619972	106423	24918	307406605	405971	573103698	112
1495813624931755596	500638468	107166	25037	308132976	417730	573331108	112
1495813625432373576	500618904	106135	24757	308248744	424165	573289694	112
1495813625932990639	500618467	106939	25156	302845389	479056	563878720	112
1495813626433613328	500622058	107636	25270	299481742	498280	562402250	114
1495813626934224475	500613035	108409	25505	310944327	432097	575329883	113
1495813627434839247	500613189	105907	24513	312469147	427832	577261950	112
1495813627935453477	500616243	106068	24946	309675602	459405	573615566	112
1495813628436073582	500618940	107996	25264	305317968	496043	565700676	112
1495813628936697896	500625491	106411	24905	305871172	443730	572486741	112
1495813629437334084	500639248	108260	25360	305031533	490185	566121913	115
1495813629937947648	500613011	107174	25042	314215042	381805	582247832	112
1495813630438658711	500712903	107817	24508	312191830	442522	577221776	113
1495813630939271691	500614113	108394	25041	309831378	460888	571695465	112
1495813631439992671	500720325	107486	24870	299313000	515066	561802733	113
1495813631940623318	500632964	107743	25864	302098422	490216	564887014	114
1495813632441256048	500633074	104091	24255	311901377	433974	576272615	112
1495813632941888903	500630825	106756	25000	306733943	493371	566275577	112
1495813633442529467	500642930	106668	24072	305763196	487723	569049034	114
1495813633943168614	500638337	108356	24628	303186635	523081	562820335	112
1495813634443981719	500813154	102517	25181	302696636	512831	562921050	113
1495813634944682365	500703435	112787	26082	295138671	520726	562704393	116
1495813635445393096	500709959	108507	24006	275689428	572235	557446696	116
1495813635946091534	500700822	101277	31139	177182473	795373	484406893	142
1495813636446805181	500712000	119445	28727	205719118	691869	488655542	152
1495813636947513161	500711490	116473	28499	276614255	565101	538800800	141
1495813637448208474	500694435	177814	70457	187478262	956433	432486802	844
1495813637948991037	500784807	139694	57110	165378115	1240068	408329464	518
1495813638449697309	500704770	122233	49959	172612238	1517105	422833163	472
1495813638950404623	500709285	133689	53337	176812498	1628511	431594251	508
1495813639451116853	500712063	134730	54149	173879073	1693890	412419847	527
1495813639951822999	500705871	146343	59122	172959593	1807128	394335336	538
1495813640452585854	342954209	3174218	932418	91584030	1262348	186350499	15844
1495813640953366084	500819896	5817621	1686241	119970405	1990013	230913119	29394
1495813641454071856	500711290	5755246	1681823	121787828	1985981	237955112	29167
1495813641954697795	500624196	5675801	1650710	124040790	1941530	245470198	28791
1495813642455342900	500648133	5591298	1629327	126379573	1919159	253562925	28410
1495813642956034422	500692279	2898790	952368	182762733	1373257	386276656	16483
1495813643456648652	500616529	58655	22779	191876008	745436	442099816	145
1495813643957261340	500615296	56132	21182	195175691	746986	447961652	113
1495813644457858071	500595561	54256	20428	195299861	747740	448621897	112
1495813644958528509	500608246	55906	21248	195214312	747462	448424489	113
1495813645459188114	500725210	54037	21140	195575223	748135	448803114	112
1495813645959896011	500708910	55147	21624	195301987	748068	448525744	113
1495813646460505866	500607634	55423	21180	195394768	747232	448500997	112
1495813646961127930	500621554	57357	22614	195159222	747463	448185437	114
1495813647461748326	500621405	56077	21587	195232774	746993	448284944	112
1495813647962370098	500621955	57965	21951	195290435	747385	448341145	113
1495813648462986870	500620206	54655	21017	195241122	747528	448470057	112
1495813648963601809	500612914	56658	21444	195455921	747994	448673061	114
1495813649464224747	500625972	55238	21106	195261856	747353	448548789	112
1495813649964852352	500626244	56459	21269	195189827	746931	448099898	113
1495813650465473791	500621964	56824	21369	194531957	749095	448341906	111
1495813650966170271	500697179	58272	23044	194617563	751165	448359554	114
1495813651466792918	500622823	56106	22848	194366655	753041	448262963	112
1495813651967412565	500621666	56892	23026	194359787	749507	448464919	113
1495813652468025795	500612304	55400	22434	194516336	750819	449082701	112
1495813652968672983	500650508	58123	23174	194448043	751644	448981610	114
1495813653469298589	500625694	55509	22490	194150718	752642	448778727	112
1495813653969927444	500626885	57429	23368	193954167	752185	448465147	113
1495813654470551507	500626804	55957	22988	194023690	752294	448614601	112
1495813654971173404	500622590	59867	23181	194051780	759483	448869799	116
1495813655471788843	500616315	57105	21910	193856893	772728	448518339	112
1495813655972412948	500624248	57795	22470	193652639	776758	448506870	113
1495813656473021553	500609877	56966	22963	193576556	775940	447945565	112
1495813656973651742	500628028	57285	22700	193522148	776723	448108200	114
1495813657474284013	500635926	56104	22692	192985610	841138	446942885	112
1495813657974906369	500621364	56947	22819	192786836	846036	446665342	113
1495813658475523682	500617905	56324	22258	192838156	850648	446824339	112
1495813658976143454	500620955	59485	23184	192982762	847333	447140918	114
1495813659476767476	500625615	55750	21691	192731770	844111	446606474	112
1495813659977380873	500613573	57627	22701	192748739	846407	446639518	113
1495813660478069603	500689239	55658	21559	192984307	849529	447168943	112
1495813660978750083	500683381	58384	22490	192709012	850467	446575773	114
1495813661479366855	500614880	54792	21449	192793687	849018	446704033	112
1495813661979988418	500622386	56160	22441	192686095	854203	446530022	113
1495813662480606898	500619523	54188	21708	192405684	865986	446020272	112
1495813662981227629	500621823	56839	22449	192468792	859287	446131293	113
1495813663481846400	500619945	56155	21825	192309530	869249	445834856	111
1495813663982466047	500618297	56206	21777	192372874	865859	445929346	113
1495813664483108527	500642941	56506	21278	192398693	874153	446030681	112
1495813664983801674	500696052	57243	22102	192463724	866852	446058244	114
1495813665484408654	500608665	56585	21842	192387675	867852	446020545	112
1495813665985018635	500608377	56412	21668	192357368	864426	445883323	113
1495813666485637365	339573584	1675803	503445	113941294	915775	252313248	8369
1495813666986272845	500629552	5816836	1694887	119002881	1997385	228026514	29510
1495813667486940492	500677490	5729572	1662821	121720719	1968170	236525389	29116
1495813667987585639	500624645	5662966	1641498	123288599	1950563	242369146	28836
1495813668488216744	500650373	5589659	1627290	125636036	1938930	250640301	28511
1495813668988987474	500770865	4532835	1374740	125339530	1768709	271691892	23883
1495813669489698537	500713824	916793	509260	116616907	1320721	296949198	7439
1495813669990377184	500679681	393342	166644	90556776	2241592	210384561	1888
1495813670491080789	500703668	53025	27682	172968204	2911627	360661664	112
1495813670991684228	500605179	55817	33507	172796748	2870570	361186957	114
1495813671492283083	500599210	52135	29675	173104463	2774344	360916105	112
1495813671992888355	500604970	53653	30492	173232280	2605538	361988997	113
1495813672493522502	500595409	52495	28609	173384371	2594761	362147740	112
1495813672994120982	500640152	55938	27885	173194446	2712329	361060722	113
1495813673494715504	500594551	53347	28377	173222029	2678731	361786478	112
1495813673995309859	500591949	54453	24814	173314435	2793631	362209021	113
1495813674495929297	500610615	52050	25509	173251084	2711003	362456793	112
1495813674996613527	500702240	53574	34710	173129603	2786220	362541142	114
1495813675497222424	500604155	53470	31573	172945221	2967001	362031317	112
1495813675997836738	500614575	54464	29657	172964595	2985720	361093357	114
1495813676498509343	500614115	52370	28683	173047972	2823675	360591387	112
1495813676999126115	500678029	55474	30071	172958372	2819936	361453835	114
1495813677499737595	500612520	54502	28654	173347863	2497614	361659273	112
1495813678000349159	500612254	54719	29198	173832012	2405490	361945011	111
1495813678500956264	500608013	52636	27711	173876742	2105517	362532671	112
1495813679001571411	500614762	54348	27106	173901649	2346635	361117320	114
1495813679502183933	500612483	52827	27972	173923038	2281484	361780369	112
1495813680002860663	500680569	54442	30966	173651945	2302107	362274074	113
1495813680503533809	500613848	52921	26020	173664353	2281561	361942816	113
1495813681004141706	500667574	54213	22922	173601484	2311468	361782869	113
1495813681504753936	500611227	53970	30096	173442280	2390938	362561274	112
1495813682005372750	500619461	54276	30064	173433583	2460413	362448201	113
1495813682505985064	500614183	55257	28402	172993644	2738504	360441340	112
1495813683006606669	500620962	55328	31045	172923401	2917268	360562636	114
1495813683507222566	500616706	52842	27362	173030467	2902655	360612058	112
1495813684007842254	500618990	126834	56189	147996699	2466162	317715566	490
1495813684508537651	500630793	422341	170086	114643495	1533085	280282193	2039
1495813685009153631	500682930	56303	24266	173830219	1738760	361735443	113
1495813685509768070	500614872	52998	27283	173537640	1666096	362017901	112
1495813686010381800	500613849	54360	25907	173753088	1689768	361762526	113
1495813686510997280	500616041	52149	22087	173676215	1867345	362315506	112
1495813687011618344	500622253	54894	23317	173758458	1907601	362201994	114
1495813687512239490	500622254	53053	24328	173996145	1827382	362214275	112
1495813688012855054	500617153	54222	25928	173737192	1833331	362078987	113
1495813688513504909	500612604	53324	25296	173754728	1722635	362252844	112
1495813689014120889	500653821	54786	28228	173659620	1836157	362656572	113
1495813689514736286	500618100	52689	32279	173568294	1691524	362830557	112
1495813690015418433	500682639	54369	32252	173833833	1583597	362960172	113
1495813690516035455	500618203	52879	31389	174016503	1713951	362853080	112
1495813691016649310	500613752	55798	30178	173834083	1735316	361344758	114
1495813691517263082	500614155	53483	30776	173822983	1607878	362999146	112
1495813692017878145	500617345	54667	30066	173862425	1693272	362401495	113
1495813692518560667	500615348	55261	28934	174107343	1712588	362081872	112
1495813693019176522	500684287	54307	27959	173980106	1959285	362018600	110
1495813693519788127	500612946	53887	28648	174374093	1843007	361336357	112
1495813694020402024	500614520	55954	28422	174067112	1806524	361916277	113
1495813694521008213	500606820	53188	29182	173710749	1806544	362137380	112
1495813695021618610	500611662	56738	29339	173874753	1876531	361835116	114
1495813695522234257	500615641	53096	28383	173892308	1821592	362378093	112
1495813696022846695	500611208	54846	31670	173577920	1726845	362560655	113
1495813696523526134	500613909	54965	31236	173950026	1659679	362928319	113
1495813697024147322	500690774	55970	30297	173909083	1768834	361933795	113
1495813697524758094	500610907	55367	33602	173952324	1743065	362383358	112
1495813698025372449	500616210	55711	28164	173960572	1749495	362473394	113
1495813698525983679	500611257	209880	86598	140886811	1647252	310819093	867
1495813699026625285	500640543	340935	143671	123172223	1597188	290242131	1666
1495813699527333931	500708665	54442	26886	174197701	1716873	363235858	112
1495813700027940370	500608343	54509	31452	174009025	1664497	364007743	113
1495813700528605183	500663485	53259	28673	174361791	1677037	363770162	113
1495813701029219538	500616800	54822	23411	173869754	1904610	363718771	113
1495813701529823144	500604879	53203	25332	174129814	1873318	363616754	112
1495813702030424416	500603319	53735	25420	174223566	1793718	363550805	113
1495813702531038021	500613702	51730	24783	174021717	1809507	363784948	112
1495813703031647959	500609689	54619	25936	174038834	1722771	363889530	114
1495813703532248106	500601027	52572	25332	173848393	1830547	364173600	112
1495813704032903836	500650639	53668	32194	173850595	1639819	364211919	113
1495813704533869983	500975416	51932	31076	174326625	1519349	364545035	113
1495813705034545838	500674116	55431	31723	174259008	1724953	363804184	113
1495813705535232776	500687110	53913	29090	174081580	1704160	362543499	112
1495813706035919298	500686514	54848	29118	173818861	1581458	363575733	113
1495813706536610653	500692248	53851	26816	174072013	1714813	363250114	112
